Zone Description,Zone Bits
Zone[68] -  In Alarm,Zone[68].0
Zone[68] -  In Manual,Zone[68].1
Zone[69] -  Zone,Zone[69]
Zone[69] -  In Alarm,Zone[69].0
Zone[69] -  In Manual,Zone[69].1
Zone[70] - TK100 Zone,Zone[70]
Zone[70] - TK100 In Alarm,Zone[70].0
Zone[70] - TK100 In Manual,Zone[70].1
Zone[71] - T100_HotWaterSystem Zone,Zone[71]
Zone[71] - T100_HotWaterSystem In Alarm,Zone[71].0
Zone[71] - T100_HotWaterSystem In Manual,Zone[71].1
Zone[72] - T100_RecircHotWater Zone,Zone[72]
Zone[72] - T100_RecircHotWater In Alarm,Zone[72].0
Zone[72] - T100_RecircHotWater In Manual,Zone[72].1
Zone[73] - VM3H1 Zone,Zone[73]
Zone[73] - VM3H1 In Alarm,Zone[73].0
Zone[73] - VM3H1 In Manual,Zone[73].1
Zone[74] - VM3H2 Zone,Zone[74]
Zone[74] - VM3H2 In Alarm,Zone[74].0
Zone[74] - VM3H2 In Manual,Zone[74].1
Zone[75] - VM3H3 Zone,Zone[75]
Zone[75] - VM3H3 In Alarm,Zone[75].0
Zone[75] - VM3H3 In Manual,Zone[75].1
Zone[76] - VM5H1 Zone,Zone[76]
Zone[76] - VM5H1 In Alarm,Zone[76].0
Zone[76] - VM5H1 In Manual,Zone[76].1
Zone[76] - VM5H2 Zone,Zone[76]
Zone[76] - VM5H2 In Alarm,Zone[76].0
Zone[76] - VM5H2 In Manual,Zone[76].1
Zone[76] - VM5H3 Zone,Zone[76]
Zone[76] - VM5H3 In Alarm,Zone[76].0
Zone[76] - VM5H3 In Manual,Zone[76].1
Zone[76] - VM5H4 Zone,Zone[76]
Zone[76] - VM5H4 In Alarm,Zone[76].0
Zone[76] - VM5H4 In Manual,Zone[76].1
Zone[76] - VM5H5 Zone,Zone[76]
Zone[76] - VM5H5 In Alarm,Zone[76].0
Zone[76] - VM5H5 In Manual,Zone[76].1
Zone[76] - VM5H6 Zone,Zone[76]
Zone[76] - VM5H6 In Alarm,Zone[76].0
Zone[76] - VM5H6 In Manual,Zone[76].1
Zone[76] - VM5H7 Zone,Zone[76]
Zone[76] - VM5H7 In Alarm,Zone[76].0
Zone[76] - VM5H7 In Manual,Zone[76].1
Zone[77] - VM6H1 Zone,Zone[77]
Zone[77] - VM6H1 In Alarm,Zone[77].0
Zone[77] - VM6H1 In Manual,Zone[77].1
Zone[77] - VM6H2 Zone,Zone[77]
Zone[77] - VM6H2 In Alarm,Zone[77].0
Zone[77] - VM6H2 In Manual,Zone[77].1
Zone[77] - VM6H3 Zone,Zone[77]
Zone[77] - VM6H3 In Alarm,Zone[77].0
Zone[77] - VM6H3 In Manual,Zone[77].1
Zone[77] - VM6H4 Zone,Zone[77]
Zone[77] - VM6H4 In Alarm,Zone[77].0
Zone[77] - VM6H4 In Manual,Zone[77].1
Zone[77] - VM6H5 Zone,Zone[77]
Zone[77] - VM6H5 In Alarm,Zone[77].0
Zone[77] - VM6H5 In Manual,Zone[77].1
Zone[77] - VM6HW Zone,Zone[77]
Zone[77] - VM6HW In Alarm,Zone[77].0
Zone[77] - VM6HW In Manual,Zone[77].1
Zone[78] - MWSVM4A Zone,Zone[78]
Zone[78] - MWSVM4A In Alarm,Zone[78].0
Zone[78] - MWSVM4A In Manual,Zone[78].1
Zone[79] - MWSVM4B Zone,Zone[79]
Zone[79] - MWSVM4B In Alarm,Zone[79].0
Zone[79] - MWSVM4B In Manual,Zone[79].1
Zone[80] - MWSPreLD Zone,Zone[80]
Zone[80] - MWSPreLD In Alarm,Zone[80].0
Zone[80] - MWSPreLD In Manual,Zone[80].1
Zone[81] - CWSPreLD Zone,Zone[81]
Zone[81] - CWSPreLD In Alarm,Zone[81].0
Zone[81] - CWSPreLD In Manual,Zone[81].1
Zone[82] - LDBatchingVM4_VM3 Zone,Zone[82]
Zone[82] - LDBatchingVM4_VM3 In Alarm,Zone[82].0
Zone[82] - LDBatchingVM4_VM3 In Manual,Zone[82].1
Zone[83] -  Zone,Zone[83]
Zone[83] -  In Alarm,Zone[83].0
Zone[83] -  In Manual,Zone[83].1
Zone[84] -  Zone,Zone[84]
Zone[84] -  In Alarm,Zone[84].0
Zone[84] -  In Manual,Zone[84].1
Zone[85] - MWSVM3A Zone,Zone[85]
Zone[85] - MWSVM3A In Alarm,Zone[85].0
Zone[85] - MWSVM3A In Manual,Zone[85].1
Zone[86] - MWSVM3B Zone,Zone[86]
Zone[86] - MWSVM3B In Alarm,Zone[86].0
Zone[86] - MWSVM3B In Manual,Zone[86].1
Zone[87] - MWSVM3C Zone,Zone[87]
Zone[87] - MWSVM3C In Alarm,Zone[87].0
Zone[87] - MWSVM3C In Manual,Zone[87].1
Zone[88] - VM1HFiller5A Zone,Zone[88]
Zone[88] - VM1HFiller5A In Alarm,Zone[88].0
